0,dart,time,velocity
0,265,956,1720
0,265,1091,1724
0,265,1200,1740
0,265,1410,1880
0,265,1620,2000
0,265,2030,2310
0,265,2170,2405
0,265,2350,2550
0,265,2537,2655
0,265,2694,2739
0,265,2861,2845
0,265,3043,2945
0,265,3880,3310
0,266,56,1585
0,266,343,1620
0,266,567,1640
0,266,660,1670
0,266,810,1700
0,266,956,1720
0,266,1094,1744
0,266,1218,1784
0,266,1400,1870
0,266,1620,2000
0,266,2050,2340
0,266,2170,2415
0,266,2340,2520
0,266,2537,2655
0,266,2694,2739
0,266,2861,2845
0,266,3043,2945
0,266,3880,3310
0,267,56,1585
0,267,343,1620
0,267,543,1655
0,267,660,1670
0,267,800,1690
0,267,956,1720
0,267,1094,1744
0,267,1200,1740
0,267,1400,1870
0,267,1610,1990
0,267,2040,2330
0,267,2184,2410
0,267,2340,2510
0,267,2537,2655
0,267,2694,2739
0,267,2861,2845
0,267,3043,2945
0,267,3880,3310
0,268,56,1585
0,268,376,1645
0,268,543,1655
0,268,660,1670
0,268,800,1710
0,268,956,1720
0,268,1094,1744
0,268,1200,1775
0,268,1400,1870
0,268,1610,2000
0,268,2040,2340
0,268,2181,2400
0,268,2340,2510
0,268,2537,2655
0,268,2656,2729
0,268,2861,2845
0,268,2994,2915
0,268,3880,3310
0,269,56,1585
0,269,376,1645
0,269,530,1660
0,269,660,1660
0,269,800,1700
0,269,956,1720
0,269,1094,1744
0,269,1204,1770
0,269,1400,1870
0,269,1610,2000
0,269,2032,2315
0,269,2181,2415
0,269,2330,2515
0,269,2537,2655
0,269,2656,2729
0,269,2861,2845
0,269,2994,2915
0,269,3880,3310
0,270,56,1585
0,270,387,1620
0,270,550,1655
0,270,660,1660
0,270,800,1700
0,270,956,1720
0,270,1094,1744
0,270,1193,1765
0,270,1400,1870
0,270,1610,2000
0,270,2040,2340
0,270,2158,2420
0,270,2330,2510
0,270,2527,2620
0,270,2659,2694
0,270,2994,2875
0,270,3880,3310
0,271,56,1585
0,271,387,1620
0,271,533,1630
0,271,650,1670
0,271,790,1680
0,271,956,1720
0,271,1094,1744
0,271,1190,1740
0,271,1390,1870
0,271,1610,2000
0,271,2023,2280
0,271,2173,2390
0,271,2322,2475
0,271,2531,2600
0,271,2659,2694
0,271,2994,2875
0,271,3880,3310
0,272,56,1585
0,272,387,1620
0,272,529,1640
0,272,653,1670
0,272,790,1690
0,272,956,1720
0,272,1094,1744
0,272,1208,1775
0,272,1400,1890
0,272,1600,2000
0,272,2031,2295
0,272,2170,2380
0,272,2322,2475
0,272,2527,2590
0,272,2659,2694
0,272,2994,2875
0,272,3880,3310
0,273,56,1585
0,273,387,1620
0,273,529,1640
0,273,650,1650
0,273,790,1690
0,273,956,1720
0,273,1094,1744
0,273,1190,1740
0,273,1400,1890
0,273,1600,2000
0,273,2030,2330
0,273,2171,2385
0,273,2322,2475
0,273,2517,2585
0,273,2659,2694
0,273,2994,2875
0,273,3880,3310
0,274,56,1585
0,274,387,1620
0,274,540,1640
0,274,650,1650
0,274,790,1690
0,274,922,1695
0,274,1060,1709
0,274,1190,1740
0,274,1390,1880
0,274,1600,2000
0,274,2011,2315
0,274,2152,2395
0,274,2314,2494
0,274,2506,2615
0,274,2659,2694
0,274,2994,2875
0,274,3880,3310
0,275,56,1585
0,275,323,1615
0,275,517,1640
0,275,637,1660
0,275,790,1690
0,275,922,1695
0,275,1060,1709
0,275,1180,1730
0,275,1390,1880
0,275,1600,2000
0,275,2002,2320
0,275,2166,2415
0,275,2314,2494
0,275,2498,2580
0,275,2662,2674
0,275,2994,2860
0,275,3880,3310
0,276,56,1585
0,276,323,1615
0,276,517,1640
0,276,650,1670
0,276,790,1680
0,276,922,1695
0,276,1060,1709
0,276,1180,1730
0,276,1390,1880
0,276,1600,2010
0,276,2010,2340
0,276,2173,2410
0,276,2314,2494
0,276,2528,2595
0,276,2662,2674
0,276,2994,2860
0,276,3880,3310
0,277,56,1585
0,277,323,1615
0,277,517,1640
0,277,650,1670
0,277,793,1685
0,277,922,1695
0,277,1060,1709
0,277,1180,1740
0,277,1380,1870
0,277,1590,2000
0,277,2010,2330
0,277,2177,2410
0,277,2314,2494
0,277,2488,2590
0,277,2662,2674
0,277,2994,2860
0,277,3880,3310
0,278,56,1585
0,278,323,1615
0,278,517,1640
0,278,650,1660
0,278,780,1690
0,278,922,1695
0,278,1060,1709
0,278,1180,1740
0,278,1380,1880
0,278,1590,2000
0,278,2010,2340
0,278,2170,2435
0,278,2314,2494
0,278,2525,2574
0,278,2662,2674
0,278,2994,2860
0,278,3880,3310
0,279,56,1585
0,279,323,1615
0,279,517,1640
0,279,620,1660
0,279,780,1700
0,279,922,1695
0,279,1060,1709
0,279,1180,1740
0,279,1380,1880
