Line-Trace,Pred-TVs,Lable-TVs,Dffirence
760_2100,15,22,-7
760_2150,20,20,0
760_2300,16,18,-2
760_2350,10,15,-5
760_2400,15,21,-6
760_2450,15,16,-1
760_2550,10,16,-6
760_2650,6,16,-10
760_2700,9,18,-9
760_2750,11,16,-5
760_2850,10,13,-3
760_2900,17,13,4
760_2950,7,12,-5
760_3000,7,18,-11
760_3100,18,21,-3
760_3150,12,14,-2
760_3200,15,20,-5
760_3250,15,19,-4
760_3300,15,20,-5
760_3350,15,16,-1
760_3450,13,14,-1
760_3500,23,18,5
790_1650,23,12,11
790_1700,23,11,12
790_1750,18,16,2
790_1800,14,17,-3
790_1900,16,15,1
790_2000,17,20,-3
790_2100,14,17,-3
790_2150,19,18,1
790_2200,21,13,8
790_2250,11,11,0
790_2300,16,12,4
790_2350,20,14,6
790_2400,18,13,5
790_2500,14,14,0
790_2550,12,14,-2
790_2600,11,19,-8
790_2650,13,15,-2
790_2700,9,14,-5
790_2800,20,12,8
790_2850,16,11,5
790_2950,17,12,5
790_3000,17,13,4
790_3050,19,13,6
790_3150,12,17,-5
790_3200,17,16,1
790_3250,15,17,-2
790_3300,13,18,-5
790_3350,23,17,6
790_3400,19,18,1
790_3450,20,17,3
790_3500,19,15,4
820_1650,15,12,3
820_1700,14,12,2
820_1750,20,11,9
820_1900,18,18,0
820_1950,19,16,3
820_2000,17,23,-6
820_2100,13,21,-8
820_2200,12,19,-7
820_2250,15,15,0
820_2300,15,17,-2
820_2350,14,18,-4
820_2400,15,17,-2
820_2450,18,14,4
820_2500,10,16,-6
820_2550,10,14,-4
820_2600,8,16,-8
820_2650,11,16,-5
820_2700,9,18,-9
820_2750,14,13,1
820_2800,11,13,-2
820_2900,17,12,5
820_3000,16,16,0
820_3050,17,15,2
820_3150,11,17,-6
820_3200,14,22,-8
820_3250,22,22,0
820_3350,17,17,0
820_3400,15,17,-2
820_3450,16,16,0
820_3500,22,17,5
850_1650,15,13,2
850_1700,18,15,3
850_1750,8,14,-6
850_1850,15,17,-2
850_1900,13,17,-4
850_2000,17,17,0
850_2050,16,19,-3
850_2100,17,19,-2
850_2150,15,17,-2
850_2200,15,17,-2
850_2250,20,20,0
850_2350,16,17,-1
850_2400,13,18,-5
850_2450,14,14,0
850_2500,15,16,-1
850_2600,11,14,-3
850_2650,10,15,-5
850_2700,10,15,-5
850_2750,13,15,-2
850_2800,20,13,7
850_2900,17,12,5
850_2950,16,11,5
850_3050,8,16,-8
850_3100,13,17,-4
850_3250,17,21,-4
850_3300,16,22,-6
850_3350,11,18,-7
850_3400,16,16,0
850_3450,22,14,8
850_3500,21,16,5
880_1650,16,13,3
880_1700,14,15,-1
880_1750,18,13,5
880_1850,12,18,-6
880_1900,15,19,-4
880_1950,19,21,-2
880_2000,17,21,-4
880_2100,18,21,-3
880_2150,19,19,0
880_2200,16,18,-2
880_2250,17,18,-1
880_2300,15,24,-9
880_2350,20,21,-1
880_2450,19,12,7
880_2500,20,16,4
880_2600,12,14,-2
880_2650,14,14,0
880_2750,10,12,-2
880_2800,22,16,6
880_2850,17,12,5
880_2950,9,13,-4
880_3000,19,17,2
880_3050,11,16,-5
880_3100,17,20,-3
880_3150,16,18,-2
880_3250,18,15,3
880_3300,17,20,-3
880_3350,18,14,4
880_3450,15,12,3
880_3500,21,14,7
910_1650,17,12,5
910_1700,23,14,9
910_1750,17,15,2
910_1800,14,16,-2
910_1850,13,20,-7
910_1900,12,15,-3
910_1950,12,18,-6
910_2000,16,18,-2
910_2050,16,15,1
910_2200,16,15,1
910_2250,13,15,-2
910_2300,16,12,4
910_2400,14,13,1
910_2450,18,12,6
910_2500,14,14,0
910_2600,14,11,3
910_2650,16,14,2
910_2700,16,16,0
910_2750,12,15,-3
910_2800,11,16,-5
910_2950,16,12,4
910_3000,18,12,6
910_3050,11,14,-3
910_3100,17,16,1
910_3150,13,15,-2
910_3200,17,15,2
910_3250,19,17,2
910_3300,15,16,-1
910_3350,16,15,1
910_3400,15,16,-1
910_3450,18,12,6
910_3500,23,11,12
940_1700,16,10,6
