Line-Trace,Pred-TVs,Lable-TVs,Dffirence
610_2450,1,14,-13
610_2500,1,16,-15
610_2550,1,11,-10
610_2650,2,19,-17
610_2700,1,16,-15
610_2750,1,15,-14
610_2800,1,15,-14
610_2850,2,17,-15
610_2900,1,21,-20
610_3000,4,20,-16
610_3050,6,22,-16
610_3100,5,20,-15
610_3150,3,21,-18
610_3200,4,21,-17
610_3250,8,25,-17
610_3300,3,23,-20
610_3350,3,21,-18
610_3400,7,20,-13
610_3450,5,16,-11
640_1200,1,13,-12
640_1250,1,13,-12
640_1300,1,17,-16
640_1350,1,16,-15
640_1400,1,15,-14
640_1450,1,15,-14
640_1500,1,15,-14
640_1600,5,16,-11
640_1650,1,18,-17
640_1700,1,17,-16
640_1750,1,18,-17
640_1800,4,18,-14
640_1900,3,22,-19
640_1950,9,20,-11
640_2050,6,19,-13
640_2100,7,19,-12
640_2200,2,18,-16
640_2250,1,15,-14
640_2350,1,21,-20
640_2400,1,21,-20
640_2450,2,17,-15
640_2500,1,15,-14
640_2550,3,18,-15
640_2600,1,19,-18
640_2650,4,17,-13
640_2700,1,17,-16
640_2750,1,16,-15
640_2800,1,17,-16
640_2850,3,14,-11
640_2900,1,18,-17
640_3000,8,20,-12
640_3050,12,19,-7
640_3100,6,23,-17
640_3150,7,21,-14
640_3250,6,22,-16
640_3300,4,22,-18
640_3350,2,20,-18
640_3400,7,19,-12
640_3450,6,15,-9
640_3500,5,17,-12
670_1450,1,15,-14
670_1500,1,15,-14
670_1600,1,14,-13
670_1650,1,12,-11
670_1700,1,14,-13
670_1800,1,14,-13
670_1850,5,19,-14
670_1900,2,19,-17
670_2000,4,19,-15
670_2100,3,20,-17
670_2150,3,15,-12
670_2250,2,20,-18
670_2300,3,21,-18
670_2350,3,19,-16
670_2450,1,20,-19
670_2500,1,20,-19
670_2550,1,20,-19
670_2650,1,15,-14
670_2750,1,20,-19
670_2800,1,18,-17
670_2900,1,20,-19
670_2950,1,17,-16
670_3050,5,22,-17
670_3100,8,20,-12
670_3150,8,21,-13
670_3200,5,20,-15
670_3250,4,22,-18
670_3300,5,22,-17
670_3400,3,18,-15
670_3450,4,17,-13
670_3500,4,17,-13
700_1800,1,8,-7
700_1900,1,16,-15
700_2000,2,17,-15
700_2100,3,20,-17
700_2150,1,12,-11
700_2250,1,13,-12
700_2300,1,14,-13
700_2400,1,21,-20
700_2450,1,16,-15
700_2500,1,20,-19
700_2550,1,13,-12
700_2600,1,19,-18
700_2650,2,16,-14
700_2700,1,20,-19
700_2750,2,16,-14
700_2800,1,15,-14
700_2850,1,14,-13
700_2900,1,15,-14
700_2950,1,16,-15
700_3000,1,16,-15
700_3050,4,15,-11
700_3100,8,25,-17
700_3200,7,26,-19
700_3300,5,20,-15
700_3350,3,15,-12
700_3400,5,20,-15
700_3450,9,16,-7
700_3500,4,21,-17
730_1700,1,15,-14
730_1750,1,15,-14
730_1800,1,16,-15
730_1850,1,15,-14
730_1950,6,16,-10
730_2000,7,16,-9
730_2150,7,16,-9
730_2200,3,15,-12
730_2350,2,14,-12
730_2400,1,15,-14
730_2450,1,12,-11
730_2500,2,15,-13
730_2550,1,14,-13
730_2600,1,15,-14
730_2650,1,13,-12
730_2700,1,16,-15
730_2750,1,16,-15
730_2900,1,12,-11
730_2950,1,14,-13
730_3000,1,14,-13
730_3050,4,16,-12
730_3100,5,14,-9
730_3150,6,18,-12
730_3200,7,23,-16
730_3300,5,17,-12
