line,trace,time,velocity
250,2250,1519,3648
250,2250,2139,3950
250,2250,2527,4048
250,2250,2680,4135
250,2250,2866,4162
250,2250,3153,4206
250,2250,3446,4279
250,2250,3785,4420
250,2250,4023,4426
250,2300,755,3267
250,2300,960,3408
250,2300,1122,3528
250,2300,1345,3569
250,2300,1469,3611
250,2300,2012,3965
250,2300,2275,4003
250,2300,2496,4067
250,2300,2643,4196
250,2300,2829,4265
250,2300,3096,4189
250,2300,3725,4470
250,2300,4014,4549
250,2300,4401,4666
250,2350,264,2433
250,2350,535,3015
250,2350,1098,3590
250,2350,1243,3549
250,2350,1457,3536
250,2350,1573,3476
250,2350,1988,3954
250,2350,2152,3976
250,2350,2263,4012
250,2350,2465,4092
250,2350,2617,4179
250,2350,2801,4180
250,2350,3063,4263
250,2350,3681,4486
250,2350,3850,4596
250,2350,4259,4627
250,2400,557,2900
250,2400,960,3536
250,2400,1218,3557
250,2400,1349,3562
250,2400,1483,3590
250,2400,1763,3644
250,2400,2027,3916
250,2400,2170,3975
250,2400,2244,3984
250,2400,2463,4031
250,2400,2618,4118
250,2400,2775,4184
250,2400,2901,4254
250,2400,3088,4241
250,2400,3714,4492
250,2400,3874,4549
250,2500,461,2799
250,2500,1107,3538
250,2500,1210,3595
250,2500,2068,3934
250,2500,2280,3995
250,2500,2496,4033
250,2500,2634,4066
250,2500,2771,4104
250,2500,2912,4057
250,2500,3098,4163
250,2500,3376,4264
250,2500,3702,4393
250,2500,3883,4485
250,2500,4039,4583
250,2550,1148,3530
250,2550,1328,3643
250,2550,1419,3606
250,2550,1696,3761
250,2550,2108,3964
250,2550,2316,4013
250,2550,2515,4029
250,2550,2667,4101
250,2550,2800,4106
250,2550,3134,4227
250,2550,3774,4350
250,2600,522,2612
250,2600,1555,3525
250,2600,2148,3924
250,2600,2300,3982
250,2600,2551,4005
250,2600,2707,4074
250,2600,2838,4120
250,2600,2959,4095
250,2600,3136,4171
250,2600,3821,4306
250,2600,4077,4489
250,2650,1500,3563
250,2650,2212,3915
