Line-Trace,Pred-TVs,Lable-TVs,Dffirence
550_2400,5,20,-15
550_2450,4,17,-13
550_2500,1,24,-23
550_2600,3,19,-16
550_2650,1,19,-18
550_2700,6,19,-13
550_2750,7,21,-14
550_2800,6,21,-15
550_2850,7,20,-13
550_2900,7,24,-17
550_3000,7,20,-13
550_3050,11,20,-9
550_3150,11,25,-14
550_3200,17,23,-6
550_3250,12,23,-11
550_3300,7,27,-20
550_3350,7,25,-18
550_3450,5,18,-13
550_3500,9,18,-9
580_1150,1,12,-11
580_1200,2,12,-10
580_1250,1,12,-11
580_1300,5,20,-15
580_1350,8,21,-13
580_1400,7,19,-12
580_1450,3,22,-19
580_1500,5,16,-11
580_1600,2,18,-16
580_1700,3,21,-18
580_1750,7,19,-12
580_1800,4,21,-17
580_1850,4,18,-14
580_1900,5,21,-16
580_2000,2,20,-18
580_2100,1,20,-19
580_2150,1,19,-18
580_2200,2,15,-13
580_2250,1,16,-15
580_2300,3,16,-13
580_2350,1,17,-16
580_2400,1,20,-19
580_2450,1,22,-21
580_2550,2,18,-16
580_2600,1,15,-14
580_2700,3,17,-14
580_2750,5,17,-12
580_2800,6,19,-13
580_2850,7,18,-11
580_2900,7,21,-14
580_3000,6,20,-14
580_3100,11,19,-8
580_3150,7,23,-16
580_3200,11,21,-10
580_3250,11,22,-11
580_3300,10,22,-12
580_3350,4,22,-18
580_3400,8,25,-17
580_3450,7,18,-11
580_3500,6,13,-7
610_1200,4,13,-9
610_1300,1,15,-14
610_1350,3,17,-14
610_1400,4,18,-14
610_1500,4,20,-16
610_1550,4,19,-15
610_1600,4,19,-15
610_1700,3,19,-16
610_1750,3,23,-20
610_1800,7,23,-16
610_1850,5,19,-14
610_1900,4,19,-15
610_1950,3,19,-16
610_2000,6,16,-10
610_2100,3,14,-11
610_2150,1,17,-16
610_2200,1,19,-18
610_2250,2,17,-15
610_2350,2,18,-16
610_2400,1,15,-14
610_2450,1,14,-13
610_2500,2,16,-14
610_2600,1,17,-16
610_2650,1,19,-18
610_2700,1,17,-16
610_2750,4,17,-13
610_2850,4,18,-14
610_2950,4,20,-16
610_3000,8,21,-13
610_3050,9,22,-13
610_3100,6,20,-14
610_3150,5,22,-17
610_3200,9,22,-13
610_3250,9,26,-17
610_3300,8,24,-16
610_3400,7,21,-14
610_3450,9,17,-8
610_3500,4,15,-11
640_1200,2,13,-11
640_1250,1,14,-13
640_1300,1,17,-16
640_1350,1,16,-15
640_1500,1,15,-14
640_1550,3,16,-13
640_1600,5,17,-12
640_1650,2,18,-16
640_1700,1,17,-16
640_1750,1,18,-17
640_1900,3,22,-19
640_1950,10,20,-10
640_2000,9,23,-14
640_2050,8,19,-11
640_2100,10,19,-9
640_2150,4,17,-13
640_2200,5,18,-13
640_2250,2,15,-13
640_2350,2,21,-19
640_2450,4,17,-13
640_2500,1,16,-15
640_2550,5,18,-13
640_2600,1,19,-18
640_2650,4,17,-13
640_2750,1,16,-15
640_2800,1,17,-16
640_2900,2,18,-16
640_2950,6,21,-15
640_3100,7,24,-17
640_3150,8,24,-16
640_3200,5,23,-18
640_3250,7,25,-18
640_3300,6,24,-18
640_3350,6,22,-16
640_3400,6,19,-13
640_3450,9,16,-7
640_3500,10,18,-8
670_1450,1,12,-11
670_1500,1,12,-11
670_1550,1,12,-11
670_1600,2,14,-12
670_1650,1,13,-12
670_1800,1,14,-13
670_1900,2,19,-17
670_1950,8,17,-9
670_2000,4,19,-15
670_2050,4,18,-14
670_2100,6,20,-14
670_2200,4,20,-16
670_2250,4,20,-16
670_2300,4,21,-17
670_2350,2,19,-17
670_2500,2,20,-18
670_2550,1,20,-19
670_2600,3,18,-15
670_2650,1,15,-14
670_2700,1,16,-15
670_2750,1,19,-18
670_2850,1,23,-22
670_2900,1,21,-20
670_2950,3,17,-14
670_3000,4,17,-13
670_3050,5,22,-17
670_3100,10,20,-10
670_3150,10,21,-11
670_3200,8,20,-12
670_3300,7,23,-16
670_3350,6,22,-16
670_3400,4,19,-15
670_3450,7,18,-11
670_3500,6,18,-12
700_1650,1,14,-13
700_1700,2,14,-12
700_1750,2,15,-13
700_1800,1,9,-8
700_1850,3,11,-8
700_1900,2,16,-14
700_1950,1,16,-15
700_2150,2,12,-10
700_2200,3,17,-14
700_2250,1,13,-12
700_2300,2,14,-12
700_2400,1,21,-20
700_2450,2,14,-12
700_2500,2,20,-18
700_2550,1,13,-12
700_2600,6,19,-13
700_2750,3,16,-13
700_2800,1,15,-14
700_2850,1,14,-13
700_2900,2,15,-13
700_2950,3,16,-13
700_3000,1,16,-15
700_3050,4,15,-11
700_3150,10,18,-8
700_3200,6,26,-20
700_3250,7,18,-11
700_3300,6,21,-15
700_3350,5,15,-10
700_3400,7,21,-14
700_3450,9,17,-8
730_1650,1,12,-11
730_1700,1,15,-14
730_1750,1,15,-14
730_1800,2,16,-14
730_1850,2,15,-13
730_1900,2,16,-14
730_2000,8,16,-8
730_2050,4,16,-12
730_2100,7,17,-10
730_2200,5,15,-10
730_2250,5,15,-10
730_2350,5,14,-9
730_2400,1,15,-14
730_2500,4,15,-11
730_2550,2,13,-11
730_2600,1,14,-13
730_2650,2,13,-11
730_2700,2,15,-13
730_2750,1,16,-15
730_2800,1,13,-12
730_2850,1,14,-13
730_2950,1,14,-13
730_3000,1,14,-13
730_3050,4,16,-12
730_3100,8,14,-6
730_3200,9,23,-14
730_3300,7,17,-10
730_3350,11,17,-6
730_3400,5,15,-10
730_3500,8,12,-4
760_1650,1,12,-11
760_1700,2,11,-9
760_1750,4,15,-11
760_1800,3,18,-15
760_1850,9,21,-12
760_1900,6,20,-14
760_1950,7,18,-11
760_2000,7,19,-12
760_2050,7,17,-10
760_2100,7,22,-15
760_2150,10,20,-10
760_2300,5,18,-13
760_2350,3,15,-12
760_2400,8,21,-13
760_2450,8,16,-8
760_2550,2,16,-14
760_2650,2,16,-14
760_2700,3,18,-15
760_2750,3,16,-13
760_2850,1,13,-12
760_2900,1,13,-12
760_2950,1,12,-11
760_3000,1,18,-17
760_3100,4,21,-17
760_3150,6,14,-8
760_3200,8,20,-12
760_3250,7,19,-12
760_3300,7,20,-13
760_3350,7,16,-9
760_3450,5,14,-9
760_3500,9,18,-9
790_1650,1,12,-11
790_1700,1,11,-10
790_1750,9,16,-7
790_1800,6,17,-11
790_1900,7,15,-8
790_2000,10,20,-10
790_2100,5,17,-12
790_2150,9,18,-9
790_2200,6,13,-7
790_2250,4,11,-7
790_2300,5,12,-7
790_2350,3,14,-11
790_2400,1,13,-12
790_2500,6,14,-8
790_2550,2,14,-12
790_2600,5,19,-14
790_2650,3,15,-12
790_2700,1,14,-13
790_2800,1,12,-11
790_2850,1,11,-10
790_2950,1,12,-11
