Line-Trace,Pred-TVs,Lable-TVs,Dffirence
550_3350,7,25,-18
550_3450,14,18,-4
550_3500,14,18,-4
580_1150,18,12,6
580_1200,17,12,5
580_1250,18,12,6
580_1300,8,20,-12
580_1350,4,21,-17
580_1400,7,19,-12
580_1450,10,22,-12
580_1500,13,16,-3
580_1600,17,18,-1
580_1700,10,21,-11
580_1750,6,19,-13
580_1800,8,21,-13
580_1850,11,18,-7
580_1900,9,21,-12
580_2000,11,20,-9
580_2100,6,20,-14
580_2150,17,19,-2
580_2200,12,15,-3
580_2250,18,16,2
580_2300,13,16,-3
580_2350,13,17,-4
580_2400,19,20,-1
580_2450,11,22,-11
580_2550,15,18,-3
580_2600,16,15,1
580_2700,6,17,-11
580_2750,10,17,-7
580_2800,7,19,-12
580_2850,7,18,-11
580_2900,9,21,-12
580_3000,10,20,-10
580_3100,6,19,-13
580_3150,7,23,-16
580_3200,7,21,-14
580_3250,6,22,-16
580_3300,6,22,-16
580_3350,8,22,-14
580_3400,8,25,-17
580_3450,11,18,-7
580_3500,14,13,1
610_1200,13,13,0
610_1300,13,15,-2
610_1350,13,17,-4
610_1400,14,18,-4
610_1500,17,20,-3
610_1550,10,19,-9
610_1600,13,19,-6
610_1700,9,19,-10
610_1750,9,23,-14
610_1800,5,23,-18
610_1850,10,19,-9
610_1900,16,19,-3
610_1950,15,19,-4
610_2000,7,16,-9
610_2100,11,14,-3
610_2150,18,17,1
610_2200,20,19,1
610_2250,7,17,-10
610_2350,15,18,-3
610_2400,16,15,1
610_2450,8,14,-6
610_2500,11,16,-5
610_2600,6,17,-11
610_2650,12,19,-7
610_2700,13,17,-4
610_2750,6,17,-11
610_2850,10,18,-8
610_2950,9,20,-11
610_3000,6,21,-15
610_3050,5,22,-17
610_3100,7,20,-13
610_3150,7,22,-15
610_3200,5,22,-17
610_3250,8,26,-18
610_3300,5,24,-19
610_3400,8,21,-13
610_3450,15,17,-2
610_3500,14,15,-1
640_1200,15,13,2
640_1250,14,14,0
640_1300,14,17,-3
640_1350,15,16,-1
640_1500,17,15,2
640_1550,18,16,2
640_1600,17,17,0
640_1650,9,18,-9
640_1700,7,17,-10
640_1750,19,18,1
640_1900,10,22,-12
640_1950,11,20,-9
640_2000,13,23,-10
640_2050,10,19,-9
640_2100,9,19,-10
640_2150,6,17,-11
640_2200,7,18,-11
640_2250,12,15,-3
640_2350,12,21,-9
640_2450,10,17,-7
640_2500,9,16,-7
640_2550,6,18,-12
640_2600,11,19,-8
640_2650,5,17,-12
640_2750,16,16,0
640_2800,17,17,0
640_2900,6,18,-12
640_2950,6,21,-15
640_3100,7,24,-17
640_3150,7,24,-17
640_3200,8,23,-15
640_3250,9,25,-16
640_3300,8,24,-16
640_3350,9,22,-13
640_3400,11,19,-8
640_3450,12,16,-4
640_3500,13,18,-5
670_1450,15,12,3
670_1500,13,12,1
670_1550,14,12,2
670_1600,8,14,-6
670_1650,14,13,1
670_1800,5,14,-9
670_1900,10,19,-9
670_1950,7,17,-10
670_2000,7,19,-12
670_2050,15,18,-3
670_2100,10,20,-10
670_2200,11,20,-9
670_2250,6,20,-14
670_2300,7,21,-14
670_2350,7,19,-12
670_2500,14,20,-6
670_2550,5,20,-15
670_2600,5,18,-13
670_2650,6,15,-9
670_2700,7,16,-9
670_2750,11,19,-8
670_2850,15,23,-8
670_2900,10,21,-11
670_2950,13,17,-4
670_3000,10,17,-7
670_3050,8,22,-14
670_3100,6,20,-14
670_3150,6,21,-15
670_3200,5,20,-15
670_3300,5,23,-18
670_3350,8,22,-14
670_3400,15,19,-4
670_3450,13,18,-5
670_3500,14,18,-4
700_1650,22,14,8
700_1700,13,14,-1
700_1750,9,15,-6
700_1800,16,9,7
700_1850,12,11,1
700_1900,10,16,-6
700_1950,13,16,-3
700_2150,17,12,5
700_2200,10,17,-7
700_2250,19,13,6
700_2300,6,14,-8
700_2400,11,21,-10
700_2450,6,14,-8
700_2500,9,20,-11
700_2550,18,13,5
700_2600,7,19,-12
700_2750,11,16,-5
700_2800,14,15,-1
700_2850,16,14,2
700_2900,6,15,-9
700_2950,11,16,-5
700_3000,18,16,2
700_3050,9,15,-6
700_3150,6,18,-12
700_3200,6,26,-20
700_3250,6,18,-12
700_3300,8,21,-13
700_3350,8,15,-7
700_3400,12,21,-9
700_3450,15,17,-2
730_1650,15,12,3
730_1700,22,15,7
730_1750,20,15,5
730_1800,19,16,3
730_1850,19,15,4
730_1900,8,16,-8
730_2000,10,16,-6
730_2050,15,16,-1
730_2100,15,17,-2
730_2200,11,15,-4
730_2250,8,15,-7
730_2350,11,14,-3
730_2400,6,15,-9
730_2500,7,15,-8
730_2550,6,13,-7
730_2600,17,14,3
730_2650,11,13,-2
730_2700,9,15,-6
730_2750,16,16,0
730_2800,11,13,-2
730_2850,10,14,-4
730_2950,5,14,-9
730_3000,13,14,-1
730_3050,9,16,-7
730_3100,6,14,-8
730_3200,6,23,-17
730_3300,8,17,-9
730_3350,7,17,-10
730_3400,16,15,1
730_3500,15,12,3
760_1650,13,12,1
760_1700,17,11,6
760_1750,9,15,-6
760_1800,13,18,-5
760_1850,10,21,-11
760_1900,8,20,-12
760_1950,8,18,-10
760_2000,16,19,-3
760_2050,16,17,-1
760_2100,8,22,-14
760_2150,10,20,-10
760_2300,11,18,-7
760_2350,7,15,-8
760_2400,7,21,-14
760_2450,7,16,-9
760_2550,8,16,-8
760_2650,4,16,-12
760_2700,6,18,-12
760_2750,8,16,-8
760_2850,9,13,-4
760_2900,16,13,3
760_2950,6,12,-6
760_3000,6,18,-12
760_3100,14,21,-7
760_3150,6,14,-8
760_3200,7,20,-13
760_3250,8,19,-11
760_3300,8,20,-12
760_3350,8,16,-8
760_3450,8,14,-6
760_3500,14,18,-4
790_1650,22,12,10
790_1700,22,11,11
790_1750,9,16,-7
790_1800,8,17,-9
790_1900,9,15,-6
790_2000,7,20,-13
790_2100,9,17,-8
790_2150,10,18,-8
790_2200,15,13,2
790_2250,7,11,-4
790_2300,11,12,-1
790_2350,17,14,3
790_2400,17,13,4
790_2500,8,14,-6
790_2550,10,14,-4
790_2600,6,19,-13
790_2650,10,15,-5
790_2700,8,14,-6
790_2800,19,12,7
790_2850,15,11,4
790_2950,16,12,4
790_3000,15,13,2
790_3050,18,13,5
790_3150,7,17,-10
790_3200,6,16,-10
790_3250,6,17,-11
790_3300,4,18,-14
790_3350,16,17,-1
790_3400,8,18,-10
790_3450,10,17,-7
790_3500,13,15,-2
820_1650,14,12,2
820_1700,10,12,-2
820_1750,18,11,7
820_1900,10,18,-8
820_1950,8,16,-8
820_2000,9,23,-14
820_2100,9,21,-12
820_2200,4,19,-15
820_2250,10,15,-5
820_2300,10,17,-7
820_2350,11,18,-7
820_2400,12,17,-5
820_2450,17,14,3
820_2500,7,16,-9
820_2550,9,14,-5
820_2600,7,16,-9
820_2650,8,16,-8
820_2700,7,18,-11
820_2750,12,13,-1
820_2800,10,13,-3
820_2900,16,12,4
820_3000,13,16,-3
820_3050,15,15,0
820_3150,4,17,-13
820_3200,6,22,-16
820_3250,6,22,-16
820_3350,8,17,-9
820_3400,8,17,-9
820_3450,8,16,-8
820_3500,14,17,-3
850_1650,14,13,1
850_1700,13,15,-2
850_1750,6,14,-8
850_1850,9,17,-8
850_1900,5,17,-12
850_2000,9,17,-8
850_2050,6,19,-13
850_2100,9,19,-10
850_2150,9,17,-8
850_2200,8,17,-9
850_2250,8,20,-12
850_2350,11,17,-6
850_2400,8,18,-10
850_2450,10,14,-4
850_2500,9,16,-7
850_2600,7,14,-7
850_2650,6,15,-9
850_2700,6,15,-9
850_2750,12,15,-3
850_2800,18,13,5
850_2900,16,12,4
850_2950,13,11,2
850_3050,6,16,-10
850_3100,6,17,-11
850_3250,7,21,-14
850_3300,7,22,-15
850_3350,8,18,-10
850_3400,9,16,-7
850_3450,15,14,1
850_3500,12,16,-4
880_1650,15,13,2
880_1700,12,15,-3
880_1750,16,13,3
880_1850,5,18,-13
880_1900,6,19,-13
880_1950,9,21,-12
880_2000,6,21,-15
880_2100,9,21,-12
880_2150,9,19,-10
880_2200,8,18,-10
880_2250,10,18,-8
880_2300,9,24,-15
880_2350,10,21,-11
880_2450,16,12,4
880_2500,17,16,1
880_2600,11,14,-3
880_2650,13,14,-1
880_2750,7,12,-5
880_2800,21,16,5
880_2850,16,12,4
880_2950,5,13,-8
880_3000,17,17,0
880_3050,8,16,-8
880_3100,11,20,-9
880_3150,6,18,-12
